videoId,title,channel,publishedAt,views,likes,comments,duration
UWMzKXsY9A4,Final Destination Bloodlines | Official Trailer,Warner Bros.,2025-03-25T15:00:41Z,7008578,131105,11062,PT2M25S
N5dOy9FGtDg,Playboi Carti - FOMDJ (Official Visualizer),Playboi Carti,2025-03-25T21:15:59Z,1671244,221270,19270,PT3M20S
zX1vB0K4Q5s,Argentina vs Brasil | Highlights Rumbo al Mundial | Telemundo Deportes,Telemundo Deportes,2025-03-26T02:10:21Z,153215,2119,717,PT15M42S
s0ab0CdGWMo,ARGENTINA vs. BRASIL [4-1] | RESUMEN | ELIMINATORIAS SUDAMERICANAS | FECHA 14,CONMEBOL,2025-03-26T02:57:42Z,10748693,0,11659,PT10M9S
YZoCy3F4J_A,Monster Hunter Wilds Showcase | March 2025,Monster Hunter,2025-03-25T13:50:07Z,1326604,66055,8634,PT13M16S
np7COsKn3Fs,Michelle Maciel - Así Fue (Video Oficial),Michelle Maciel,2025-03-26T00:00:07Z,365790,78265,3934,PT4M24S
v3BbJdoppWc,✨ Housewarming🌸  | Minecraft Misadventures SMP | Ep. 2,LDShadowLady,2025-03-25T18:45:02Z,346914,33137,2235,PT19M3S
U4NPZi2b0aQ,Ella Langley - weren't for the wind (Official Video),EllaLangleyVEVO,2025-03-25T16:00:06Z,143934,6733,1211,PT3M23S
t7vjiko_tFs,Beta Squad: The Return (Official Trailer),Beta Squad,2025-03-25T18:13:00Z,1171849,151851,12677,PT2M59S
Q2e32PLM4VA,"EXCLUSIVE: Kei'Mani Latigue's grandma and aunt speak with WTOL after teen found dead, father charged",WTOL11,2025-03-25T18:34:10Z,168003,2652,1236,PT22M55S
VahNJ_EnH5w,I'm STILL Pissed About This,Rick Beato,2025-03-25T18:30:07Z,700556,42792,4521,PT8M28S
KWeN2QgiIcU,The New Dodge Charger EV Is an Unfinished Effort,Doug DeMuro,2025-03-25T15:55:00Z,651985,19304,7696,PT33M18S
7-eX7FcKeSU,She Hurts Like Tequila (Preview),Cody Johnson - Topic,2025-03-20T16:20:13Z,32767,1946,37,PT52S
Htc08NP9Wog,shopping alone for the first time,Jake Webber,2025-03-25T02:31:56Z,578999,34338,3306,PT23M57S
3yeDw0Qip_0,Miley Cyrus - Something Beautiful (Official Trailer 1),MileyCyrusVEVO,2025-03-25T16:00:07Z,207465,27186,3261,PT1M40S
WMfOaOSz0R4,"Emilia, TINI, Nicki Nicole - blackout 🧊 (Official Video)",EmiliaMusicVEVO,2025-03-26T00:00:06Z,1492758,155302,13793,PT3M24S
T6y-0sBUKGI,Monster Hunter Wilds - Free Title Update 1,Monster Hunter,2025-03-25T14:14:50Z,396688,19826,2814,PT2M22S
kzJkVSnZEGk,Lady Gaga “Abracadabra” Live on the Stern Show,The Howard Stern Show,2025-03-25T22:45:03Z,158329,0,939,PT3M50S
C5bha5RUhIM,Team Melli secure World Cup spot! | IR Iran - Uzbekistan | Highlights #AsianQualifiers - Road To 26,AFC Asian Cup,2025-03-25T21:00:07Z,691696,8652,1608,PT4M1S
eI_H3HqaQLs,This deleted scene will completely change how you see Home Alone,Joel Haver,2025-03-25T16:00:46Z,337007,41119,1615,PT3M13S
Rv_KOAd7_Rs,Lady Gaga “Perfect Celebrity” Live on the Stern Show,The Howard Stern Show,2025-03-25T22:45:02Z,129991,0,848,PT4M15S
dYJNZ4euuFk,Bambu Lab H2D Review – The 3D Printer That’s Not Just a 3D Printer!,CNC Kitchen,2025-03-25T14:21:13Z,309022,10631,1967,PT34M31S
LvCmsOWPwKA,"Stray Kids ""ESCAPE (Bang Chan & Hyunjin)"" Video",Stray Kids,2025-03-24T14:00:02Z,6399069,476249,29657,PT3M12S
Hm6WANGUFEU,‘The Bachelor’ Couple Grant & Juliana on Their Engagement: “She’s Going to Make an Amazing Wife”,People,2025-03-25T13:00:14Z,105842,1513,310,PT15M42S
duN-KQgOjYs,Andor | Official Trailer | Final Season Streaming April 22 on Disney+,Star Wars,2025-03-24T15:00:55Z,2694550,57302,3841,PT1M23S
yvtv3ELPO44,Disney's Remakes Have Officially Hit ROCK BOTTOM....(Snow White 2025),Saberspark,2025-03-25T16:34:16Z,431190,24927,4174,PT23M27S
p1Hq68tFR4g,Nettspend - impact (feat. xaviersobased) [official video],Nettspend,2025-03-25T22:00:06Z,102947,17846,1134,PT2M10S
jLECnWT36g4,Bronny James ERUPTS For Career-High 39 PTS On 67% FG In Lakers Win Over Warriors,NBA G League,2025-03-25T04:28:34Z,487985,5616,1711,PT2M25S
7Plwc7g-CSU,See Litia Garr & Grant Ellis’ HEARTBREAKING ‘Bachelor’ Breakup: ‘I’m Not Your Person’,Bachelor Nation,2025-03-25T03:30:07Z,103566,872,867,PT8M10S
KJQ8pR8VyJQ,"New Mini Game, Free Gifts and MORE! | Match News",Match Masters,2025-03-25T14:00:06Z,361073,26640,4720,PT2M46S
K--w7PTmOE4,Grant Ellis PROPOSES to Juliana Pasquarosa on ‘The Bachelor’ Season Finale,Bachelor Nation,2025-03-25T03:05:00Z,118951,1226,728,PT6M41S
BM-vwjUZB5I,I GOT PREGNANT ON THE IUD.,Les Do Makeup,2025-03-24T00:05:45Z,890158,33449,3885,PT32M51S
gsoniSZ-pfg,Race Driver Explains Lawson’s RB Driving Style Problem,Driver61,2025-03-25T13:41:40Z,683105,18314,2155,PT9M19S
HIuXEU4H-XE,The Search for MH370 is Back ON! What’s changed?!,Mentour Now!,2025-03-24T16:01:33Z,1397619,42921,4165,PT23M20S
xia1ZKYCCgo,ICE arrests 370 in Boston; Homan targets city’s immigration policies,WCVB Channel 5 Boston,2025-03-24T21:29:06Z,174263,3689,0,PT1M39S
tlp3TBGLt1c,Every Console Competes In Fortnite!,CouRage Gaming,2025-03-24T22:00:43Z,500376,9245,1138,PT19M
A3sNQi_Zq28,I tried Assassin's Creed Shadows so you won't have to,zanny,2025-03-24T22:00:08Z,900691,49140,3162,PT17M47S
_PUtIcwXKJM,Pro Economist Vs Cities Skylines 2 - The Perfect NEGATIVE TAX City,The Spiffing Brit,2025-03-24T17:43:36Z,748806,34267,1428,PT30M3S
f2Nvy16D-mk,Take A Ride On The Wild Side With The Deegans,The Deegans,2025-03-24T23:08:39Z,300921,7941,494,PT9M33S
WphbV44bsik,3 Minecraft Speedrunners VS TITAN,Dream,2025-03-24T00:30:06Z,2268267,117103,7303,PT39M31S
Z3aOtxDUrjY,Boeing's $20 Billion Comeback: Meet the F-47 NGAD!,PilotPhotog,2025-03-23T22:12:22Z,930194,18587,5097,PT16M34S
Ly33PihkXwE,QUADECA - GODSTAINED,Quadeca,2025-03-25T02:59:30Z,136709,19098,2621,PT3M30S
z09MICaSBZM,A WEEKEND AT HOME WITH MY TODDLER | VLOG | MOLLYMAE,MollyMae,2025-03-25T17:24:02Z,331412,12024,495,PT38M45S
m37tN54FdQE,"REBUILDING A £600,000 LAMBORGHINI REVUELTO",Mat Armstrong,2025-03-23T18:00:35Z,3867816,194758,6065,PT59M54S
g0zmXbVXIwU,We lost our bikes,Ludwig,2025-03-26T07:19:02Z,566457,42687,1911,PT23M28S
x7HfQIZWu3A,made with love,emma chamberlain,2025-03-23T18:45:05Z,695440,40946,2078,PT28M31S
FCk8sicNMDo,Big storm :(,Ludwig,2025-03-25T04:25:41Z,1195393,78707,3617,PT24M35S
CUY0YJPeZpw,Top 3 Exercises For Every Muscle - Ft. Dr. Mike Israetel,Jesse James West,2025-03-23T15:59:04Z,1100762,52953,1486,PT25M49S
s2M5rBOhtXY,Cheapest Hotel vs Most Expensive Hotel In Kazakhstan,Simon Wilson,2025-03-24T18:26:17Z,367121,12347,844,PT20M52S
MscXU_fATIo,I finally went brunette and I HATE it...,Tana Mongeau,2025-03-23T17:00:29Z,379093,14480,2330,PT16M36S
